################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0348817199674742E-01 a       117     0     8     1    12
 -2.9047454096925200E+00 a       118     0     8     1    13
 -5.8184497967795373E-02 a       119     0     8     1    14
  3.8369275758995731E+00 a       120     0     8     1    15
 -3.2948179272269549E+01 a       121     0     9     1     1
  2.0879259784504292E+01 a       122     0     9     1     2
  6.7554131165834779E+00 a       123     0     9     1     3
 -1.2482794775856188E+01 a       124     0     9     1     4
 -1.3613573982838929E+01 a       125     0     9     1     5
 -8.3714908720120302E+00 a       126     0     9     1     6
  1.3169995274235642E+01 a       127     0     9     1     7
 -1.1913799295748682E+01 a       128     0     9     1     8
  3.2045654166744548E+01 a       129     0     9     1     9
 -2.6642384439958626E+01 a       130     0     9     1    10
  8.2087156410578501E+00 a       131     0     9     1    11
 -3.3501788228353405E+01 a       132     0     9     1    12
  2.7720531583219348E+01 a       133     0     9     1    13
  3.3359196496785493E+01 a       134     0     9     1    14
 -3.3325032334587505E+01 a       135     0     9     1    15
 -6.2778626361990186E-01 a       136     0    10     1     1
  1.4413491080774573E+01 a       137     0    10     1     2
  1.6731349097847190E+01 a       138     0    10     1     3
  3.3551603930137404E+00 a       139     0    10     1     4
 -1.1673301953731062E+01 a       140     0    10     1     5
 -1.6359002199901049E+01 a       141     0    10     1     6
 -2.8923825328316477E+00 a       142     0    10     1     7
  1.1319136491377986E+01 a       143     0    10     1     8
  1.1329571069044906E+01 a       144     0    10     1     9
 -3.4810651351665443E+00 a       145     0    10     1    10
  1.9770590152707468E-01 a       146     0    10     1    11
  2.6794927559824671E+01 a       147     0    10     1    12
 -2.3640131487458023E+00 a       148     0    10     1    13
  2.5247705573678125E+01 a       149     0    10     1    14
 -1.3365091529918530E+01 a       150     0    10     1    15
 -1.8917859734941533E+01 a       151     0    11     1     1
 -3.6975864269897052E+01 a       152     0    11     1     2
 -2.7136239506770515E+01 a       153     0    11     1     3
 -3.1038267675515836E+01 a       154     0    11     1     4
 -1.5077864341885077E+00 a       155     0    11     1     5
 -8.9060295339609770E+00 a       156     0    11     1     6
  5.9926435692507329E+00 a       157     0    11     1     7
 -1.8924722514295095E+01 a       158     0    11     1     8
  7.3144994013467510E+00 a       159     0    11     1     9
  2.3369699018163992E+01 a       160     0    11     1    10
 -2.7567309557034640E+01 a       161     0    11     1    11
  2.3544961842167851E+01 a       162     0    11     1    12
  8.8608121783886915E+00 a       163     0    11     1    13
  1.4946931392996001E+01 a       164     0    11     1    14
 -1.9770215783184778E+01 a       165     0    11     1    15
 -3.1421290474928231E+01 a       166     0    12     1     1
  2.0542108185712276E+01 a       167     0    12     1     2
 -1.2472417292813576E+01 a       168     0    12     1     3
 -4.8112860198978964E+01 a       169     0    12     1     4
  2.8301408358141682E+01 a       170     0    12     1     5
 -3.5542843954188598E+01 a       171     0    12     1     6
 -1.2803710810217432E+01 a       172     0    12     1     7
  6.2524204542655696E+01 a       173     0    12     1     8
 -4.9516620820157433E+00 a       174     0    12     1     9
 -1.6960663734297274E+01 a       175     0    12     1    10
 -1.1416128007485462E+01 a       176     0    12     1    11
  1.3655142799440821E+01 a       177     0    12     1    12
 -9.5804842398338153E-01 a       178     0    12     1    13
  7.1222053700948171E+00 a       179     0    12     1    14
  4.6434438767761250E+01 a       180     0    12     1    15
  2.8193984138435444E+00 a       181     0    13     1     1
  1.6532112908551063E+01 a       182     0    13     1     2
  1.2402954799181160E+01 a       183     0    13     1     3
  4.4378202478467630E+00 a       184     0    13     1     4
 -8.7208054330481470E+00 a       185     0    13     1     5
  1.5361896635986525E+01 a       186     0    13     1     6
  5.8578140219677213E+00 a       187     0    13     1     7
 -1.7792787763197250E+01 a       188     0    13     1     8
  1.5854820348955181E+01 a       189     0    13     1     9
 -2.6318977204865291E+01 a       190     0    13     1    10
 -2.5589723944981868E+00 a       191     0    13     1    11
 -1.5942444998038237E+01 a       192     0    13     1    12
  2.5732623545016899E+01 a       193     0    13     1    13
 -4.2116482050038584E+01 a       194     0    13     1    14
  7.4410300164888818E+00 a       195     0    13     1    15
  2.1197947376599018E+01 a       196     0    14     1     1
 -2.0940988538424303E+01 a       197     0    14     1     2
 -3.1657399796934543E-01 a       198     0    14     1     3
  4.2540101323744921E+01 a       199     0    14     1     4
 -1.8250507967860386E+01 a       200     0    14     1     5
  1.4326867293825240E+01 a       201     0    14     1     6
  9.6684508849735877E+00 a       202     0    14     1     7
 -1.7738848147739532E+01 a       203     0    14     1     8
  2.1364060418509947E+01 a       204     0    14     1     9
  2.2059620773212803E+01 a       205     0    14     1    10
 -7.9929901849203178E-01 a       206     0    14     1    11
  3.5173170611117925E+01 a       207     0    14     1    12
 -1.2954218693409493E+01 a       208     0    14     1    13
  8.7187619879612441E+00 a       209     0    14     1    14
 -2.4536942950780514E+01 a       210     0    14     1    15
  2.3236286776838785E+01 a       211     0    15     1     1
  1.5027381714400937E+01 a       212     0    15     1     2
  1.3837291979580874E+01 a       213     0    15     1     3
  2.6116295855010808E+01 a       214     0    15     1     4
  5.9629434639980818E+00 a       215     0    15     1     5
  8.1105774028477473E+00 a       216     0    15     1     6
 -1.2330099994332073E+00 a       217     0    15     1     7
  2.5787500339357791E+01 a       218     0    15     1     8
 -1.1366957798632798E+01 a       219     0    15     1     9
 -1.9609294605359426E+00 a       220     0    15     1    10
  2.1152787690523056E+01 a       221     0    15     1    11
 -2.3591047348580467E+00 a       222     0    15     1    12
 -1.5744196814029030E+01 a       223     0    15     1    13
 -1.6194100666216702E+01 a       224     0    15     1    14
  1.7178096453255289E+01 a       225     0    15     1    15
  1.0925928995729617E+00 a       226     0    16     1     1
 -4.5897032325281657E+00 a       227     0    16     1     2
 -1.8286694234380320E+01 a       228     0    16     1     3
 -1.5588780809032155E+01 a       229     0    16     1     4
  6.5975174242520644E+00 a       230     0    16     1     5
  3.0852005480504243E+01 a       231     0    16     1     6
  7.8948858117160894E+00 a       232     0    16     1     7
 -9.9538782637532570E+00 a       233     0    16     1     8
 -3.6311001180156751E+01 a       234     0    16     1     9
 -1.8908041583991526E+01 a       235     0    16     1    10
 -2.5691589265978312E+00 a       236     0    16     1    11
 -6.1151800127063922E+01 a       237     0    16     1    12
 -1.9443843864882549E+01 a       238     0    16     1    13
 -1.4877638582175875E+01 a       239     0    16     1    14
  8.9360655317385600E+00 a       240     0    16     1    15
  3.7794271020768844E-01 a       241     0    17     1     1
 -4.3789489493599323E+00 a       242     0    17     1     2
 -3.3565243791850614E+00 a       243     0    17     1     3
 -1.8551059361295772E+00 a       244     0    17     1     4
 -2.9540263036765295E+00 a       245     0    17     1     5
 -6.5347717274431671E+00 a       246     0    17     1     6
  1.7420142303225690E+00 a       247     0    17     1     7
 -3.9320747047716815E+00 a       248     0    17     1     8
 -2.2123772953409429E+00 a       249     0    17     1     9
  3.9696072366143094E+00 a       250     0    17     1    10
  1.3573880196066924E+01 a       251     0    17     1    11
 -9.9683887370890722E-01 a       252     0    17     1    12
 -5.3652866963533462E-02 a       253     0    17     1    13
  5.5457013336961696E+00 a       254     0    17     1    14
  4.4475774202421299E+00 a       255     0    17     1    15
  3.4620194874440497E+00 a       256     0    18     1     1
 -5.1787487245051738E+00 a       257     0    18     1     2
 -1.3979683506713769E+00 a       258     0    18     1     3
  2.4104693944641835E+00 a       259     0    18     1     4
 -2.4950291399267952E+00 a       260     0    18     1     5
 -8.1762166258328985E+00 a       261     0    18     1     6
 -1.2070300461725871E+00 a       262     0    18     1     7
 -7.6669319900990107E+00 a       263     0    18     1     8
  2.6492299741509280E+00 a       264     0    18     1     9
  2.0356187339887146E+00 a       265     0    18     1    10
  2.5131373024172913E+01 a       266     0    18     1    11
 -6.3339108419460031E+00 a       267     0    18     1    12
  9.0379611539654139E+00 a       268     0    18     1    13
  5.9877268274440310E+00 a       269     0    18     1    14
 -1.2888010739362741E+00 a       270     0    18     1    15
 -2.9331411996601897E+00 a       271     0    19     1     1
 -1.0192096351147919E+00 a       272     0    19     1     2
 -9.4344302276882464E-01 a       273     0    19     1     3
 -1.4982981323239097E+00 a       274     0    19     1     4
  9.0359597692730775E-01 a       275     0    19     1     5
 -5.6987836503152267E-01 a       276     0    19     1     6
  3.7992137270970935E-02 a       277     0    19     1     7
 -5.1580574366568488E-01 a       278     0    19     1     8
  1.2419106004115452E+00 a       279     0    19     1     9
 -4.1640059282256718E+00 a       280     0    19     1    10
 -2.8196825211314098E+00 a       281     0    19     1    11
  1.4831396719960914E+00 a       282     0    19     1    12
  5.7947558159723433E-01 a       283     0    19     1    13
 -1.1382961842272146E+00 a       284     0    19     1    14
 -2.0884198306669433E+00 a       285     0    19     1    15
 -1.7826047128286155E+00 a       286     0    20     1     1
 -4.5744580355212499E+00 a       287     0    20     1     2
 -2.5205257233934288E+00 a       288     0    20     1     3
  5.4438886955661010E+00 a       289     0    20     1     4
 -7.5278274862065553E+00 a       290     0    20     1     5
 -3.6776750697808489E+00 a       291     0    20     1     6
  3.4985128549641957E+00 a       292     0    20     1     7
 -7.0923494479043097E+00 a       293     0    20     1     8
 -7.7581752400048938E+00 a       294     0    20     1     9
  8.2091120734422152E+00 a       295     0    20     1    10
 -3.5105998601217281E-01 a       296     0    20     1    11
  3.1065635958558455E+00 a       297     0    20     1    12
 -4.4282487764412286E+00 a       298     0    20     1    13
 -5.8183209494184251E-01 a       299     0    20     1    14
  2.0459349320309932E+00 a       300     0    20     1    15
  7.3302789836430851E+00 a       301     0    21     1     1
 -2.1309658139870894E+01 a       302     0    21     1     2
 -9.9648900188984175E+00 a       303     0    21     1     3
 -8.5767806725585718E+00 a       304     0    21     1     4
 -8.2228335874730007E-01 a       305     0    21     1     5
  3.0156812077014362E+01 a       306     0    21     1     6
  2.0503219202649085E+01 a       307     0    21     1     7
 -7.1085397660739114E+00 a       308     0    21     1     8
 -2.1411398799235929E+01 a       309     0    21     1     9
  2.5634006096747736E+01 a       310     0    21     1    10
  2.2513007611765552E+01 a       311     0    21     1    11
  1.5648248697903581E+01 a       312     0    21     1    12
 -1.9734152320687144E+00 a       313     0    21     1    13
  2.9279247613382481E+01 a       314     0    21     1    14
