################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4959858467913336E+00 a       498     1     1     2     3
  1.0183971169351635E+00 a       499     1     1     2     4
  1.8709452641452151E+00 a       500     1     1     2     5
  2.4046200421736232E+00 a       501     1     1     2     6
 -2.3979008540592632E+00 a       502     1     1     2     7
 -1.3567410768036983E+00 a       503     1     1     2     8
 -6.6148418495169476E+00 a       504     1     1     2     9
  4.3126977127984739E-01 a       505     1     1     2    10
  2.4064930772778248E+00 a       506     1     1     2    11
 -4.6684719360416604E-01 a       507     1     1     2    12
  3.3742903415195019E-01 a       508     1     1     2    13
 -8.6724923953351329E-01 a       509     1     1     2    14
  5.3861279719215442E-02 a       510     1     1     2    15
 -1.7726575567944374E+00 a       511     1     2     2     1
  1.0908641899506897E+00 a       512     1     2     2     2
 -1.1405186681990498E+00 a       513     1     2     2     3
  8.5290642164487829E-01 a       514     1     2     2     4
  1.9218942131461145E+00 a       515     1     2     2     5
 -3.4894658995660292E-02 a       516     1     2     2     6
  7.9636375186955755E-01 a       517     1     2     2     7
  1.6457529283753101E+00 a       518     1     2     2     8
 -4.2383561166769189E-02 a       519     1     2     2     9
  6.2728962095350183E-01 a       520     1     2     2    10
 -3.5161576444463841E-02 a       521     1     2     2    11
 -6.7479001212345735E-01 a       522     1     2     2    12
  5.9515863366257216E-01 a       523     1     2     2    13
 -1.1375489749256713E+00 a       524     1     2     2    14
 -2.3644850677449838E-01 a       525     1     2     2    15
 -3.1212420970035515E+00 a       526     1     3     2     1
 -1.1338990235700284E+00 a       527     1     3     2     2
  1.6637932965285003E+00 a       528     1     3     2     3
  4.0772109779426184E+00 a       529     1     3     2     4
 -1.8650814627966201E+00 a       530     1     3     2     5
 -2.6110427544652404E+00 a       531     1     3     2     6
  1.1669064867442183E+00 a       532     1     3     2     7
 -5.9371281915319749E-02 a       533     1     3     2     8
  8.6653689571726744E-01 a       534     1     3     2     9
  4.1214521357035966E-01 a       535     1     3     2    10
 -4.2758607529409498E-01 a       536     1     3     2    11
  2.1107443770131608E-02 a       537     1     3     2    12
 -1.3901686217075923E-01 a       538     1     3     2    13
 -5.3960410649631518E-01 a       539     1     3     2    14
 -1.2989979596938139E+00 a       540     1     3     2    15
  3.2026299332940256E+00 a       541     1     4     2     1
 -9.5924841830643648E-02 a       542     1     4     2     2
 -1.5387369133702304E+00 a       543     1     4     2     3
 -4.1643884645069802E+00 a       544     1     4     2     4
  2.8513259608571921E+00 a       545     1     4     2     5
  1.3874230573140305E+00 a       546     1     4     2     6
  7.1651868573766531E-01 a       547     1     4     2     7
  9.2370443827550042E-01 a       548     1     4     2     8
 -1.7001765851047490E+00 a       549     1     4     2     9
  1.1925538032718888E+00 a       550     1     4     2    10
  1.7186756345383920E+00 a       551     1     4     2    11
 -1.3295762096664527E+00 a       552     1     4     2    12
  2.0061071004719122E+00 a       553     1     4     2    13
  3.7910513948965352E-01 a       554     1     4     2    14
  9.5453072968040453E-01 a       555     1     4     2    15
 -1.0051189625876107E+00 a       556     1     5     2     1
  2.6065942273654819E+00 a       557     1     5     2     2
 -9.7218159327756670E-01 a       558     1     5     2     3
 -5.1034387971346158E+00 a       559     1     5     2     4
 -9.8782996945279966E-01 a       560     1     5     2     5
 -2.1389710731602625E+00 a       561     1     5     2     6
  1.6373073510987797E+00 a       562     1     5     2     7
  1.6611284749266420E+00 a       563     1     5     2     8
  4.4599992214135717E+00 a       564     1     5     2     9
  9.1438602677663983E-01 a       565     1     5     2    10
 -2.2919892453257433E+00 a       566     1     5     2    11
 -2.9862205350813729E+00 a       567     1     5     2    12
  2.1320504394493405E+00 a       568     1     5     2    13
 -2.3661317453836924E-02 a       569     1     5     2    14
 -1.2737649884517226E+00 a       570     1     5     2    15
 -8.3295157458698625E+00 a       571     1     6     2     1
  1.5185026688873877E+00 a       572     1     6     2     2
  1.3878296018851342E+00 a       573     1     6     2     3
 -1.9754383337618791E+00 a       574     1     6     2     4
 -6.3719090903740161E-01 a       575     1     6     2     5
 -2.8001408692305376E+00 a       576     1     6     2     6
  8.1375743489235108E-01 a       577     1     6     2     7
  2.8076243040514659E-01 a       578     1     6     2     8
  4.5262328019029558E+00 a       579     1     6     2     9
  7.8573097083808408E-01 a       580     1     6     2    10
 -1.4024815199895821E+00 a       581     1     6     2    11
 -6.3345231115613621E-01 a       582     1     6     2    12
 -7.3041773081827044E-01 a       583     1     6     2    13
 -1.2156451547677825E+00 a       584     1     6     2    14
 -1.1603352109412122E+00 a       585     1     6     2    15
 -5.0632967974641729E-01 a       586     1     7     2     1
  1.1516142464568346E+00 a       587     1     7     2     2
 -1.4719321348880952E+00 a       588     1     7     2     3
 -2.7746093616909966E+00 a       589     1     7     2     4
 -4.2299223665196362E+00 a       590     1     7     2     5
 -1.0438982212118346E+00 a       591     1     7     2     6
 -1.0042424586782008E+00 a       592     1     7     2     7
 -3.6733728823247841E-01 a       593     1     7     2     8
  1.5315286698536184E+00 a       594     1     7     2     9
  1.9836951872627562E-01 a       595     1     7     2    10
 -3.8420644727121762E-02 a       596     1     7     2    11
  2.9460934069932598E-01 a       597     1     7     2    12
 -1.4901492659969597E+00 a       598     1     7     2    13
 -1.4177501047035153E+00 a       599     1     7     2    14
 -2.9573369001990935E-01 a       600     1     7     2    15
  1.7718985944989474E+00 a       601     1     8     2     1
 -1.2887082964626659E+00 a       602     1     8     2     2
 -4.0649395773303665E-01 a       603     1     8     2     3
 -8.4352534902910570E+00 a       604     1     8     2     4
  8.9315588130554824E-01 a       605     1     8     2     5
 -3.1664205424811906E+00 a       606     1     8     2     6
  1.0650226273609933E+00 a       607     1     8     2     7
 -1.5235503577889822E+00 a       608     1     8     2     8
  8.8315016481308420E-02 a       609     1     8     2     9
 -5.4495456009525815E-02 a       610     1     8     2    10
  7.5547496163698258E-01 a       611     1     8     2    11
  1.4557972100617402E+00 a       612     1     8     2    12
 -7.2341049001336444E-01 a       613     1     8     2    13
  1.9069063583507011E+00 a       614     1     8     2    14
 -1.1728931138047101E+00 a       615     1     8     2    15
  5.9227240802988517E+00 a       616     1     9     2     1
  2.1104460015914093E+00 a       617     1     9     2     2
 -3.2217002371163459E+00 a       618     1     9     2     3
  1.0463428920135214E+00 a       619     1     9     2     4
  3.9879624370154900E+00 a       620     1     9     2     5
  3.9920089854161547E+00 a       621     1     9     2     6
  1.2652805822452582E+00 a       622     1     9     2     7
  1.2904946956887051E+00 a       623     1     9     2     8
  2.9119983624046335E+00 a       624     1     9     2     9
  4.5309576333113908E+00 a       625     1     9     2    10
 -2.1578149937612010E-01 a       626     1     9     2    11
  3.5215175377103467E+00 a       627     1     9     2    12
 -4.1944035517939371E+00 a       628     1     9     2    13
  1.1622295324301746E+00 a       629     1     9     2    14
 -5.5336150500688253E-01 a       630     1     9     2    15
 -1.1656682674309531E+00 a       631     1    10     2     1
  6.6663231602524808E-01 a       632     1    10     2     2
  1.8627905316999573E+00 a       633     1    10     2     3
  2.4644371315988015E-01 a       634     1    10     2     4
  1.7936002732409417E+00 a       635     1    10     2     5
  3.1081107462232399E-01 a       636     1    10     2     6
  2.7709854178648557E-01 a       637     1    10     2     7
 -5.9078220574657969E-01 a       638     1    10     2     8
  1.0484117826402182E+00 a       639     1    10     2     9
  1.8662412488585708E-01 a       640     1    10     2    10
 -1.5701516950603991E+00 a       641     1    10     2    11
  4.1913765474835218E-02 a       642     1    10     2    12
  2.6192479594432907E+00 a       643     1    10     2    13
  9.5863929587181318E-01 a       644     1    10     2    14
 -4.3610891999627532E-02 a       645     1    10     2    15
  1.9435200516599986E+00 a       646     1    11     2     1
 -2.1865562807097718E+00 a       647     1    11     2     2
  1.1817349955078973E+00 a       648     1    11     2     3
 -2.0222817188654676E+00 a       649     1    11     2     4
  3.0214074456164477E+00 a       650     1    11     2     5
  1.6201095414617039E+00 a       651     1    11     2     6
  3.1875488525572599E+00 a       652     1    11     2     7
  6.6803003064611328E+00 a       653     1    11     2     8
  1.4393149743490521E+00 a       654     1    11     2     9
 -5.1737907133571586E+00 a       655     1    11     2    10
 -2.0060824787753364E+00 a       656     1    11     2    11
  1.6984872242097913E+00 a       657     1    11     2    12
 -1.8753784315166548E+00 a       658     1    11     2    13
  2.0715660536189842E+00 a       659     1    11     2    14
 -6.2870992246651070E-01 a       660     1    11     2    15
  2.7427216244348078E+00 a       661     1    12     2     1
 -6.5098666690145390E-01 a       662     1    12     2     2
 -1.9410941741830615E-01 a       663     1    12     2     3
  4.6542972853821913E+00 a       664     1    12     2     4
 -2.1878811479718037E+00 a       665     1    12     2     5
  1.4109806460020802E+00 a       666     1    12     2     6
 -3.3850678569792110E+00 a       667     1    12     2     7
  6.1575463576032152E-01 a       668     1    12     2     8
 -4.4730276326128786E+00 a       669     1    12     2     9
 -6.0579674515461146E-01 a       670     1    12     2    10
  5.5282944632603637E-01 a       671     1    12     2    11
  1.1560508927001423E+00 a       672     1    12     2    12
 -6.9896960138618702E-01 a       673     1    12     2    13
  2.5939706753357870E+00 a       674     1    12     2    14
 -4.3855864198783073E-01 a       675     1    12     2    15
  4.5220497176820560E+00 a       676     1    13     2     1
 -2.9501771898413426E-01 a       677     1    13     2     2
 -1.2568180065600596E+00 a       678     1    13     2     3
 -2.5428422858094263E-01 a       679     1    13     2     4
  4.2524045555752160E-01 a       680     1    13     2     5
 -5.6648145333630779E+00 a       681     1    13     2     6
 -4.3252474803466772E+00 a       682     1    13     2     7
 -1.3762758712366039E+00 a       683     1    13     2     8
  2.8591198670873759E+00 a       684     1    13     2     9
 -9.0151515917745453E+00 a       685     1    13     2    10
 -5.4710648088687774E-01 a       686     1    13     2    11
  3.2786128824742622E-01 a       687     1    13     2    12
  1.7199241750767942E+00 a       688     1    13     2    13
  2.3914041981754788E+00 a       689     1    13     2    14
  7.7625200677840525E+00 a       690     1    13     2    15
  2.1870988287569224E+00 a       691     1    14     2     1
 -1.2358825269412770E+00 a       692     1    14     2     2
  9.1562326405269123E-01 a       693     1    14     2     3
 -2.6673423141718073E+00 a       694     1    14     2     4
 -2.5390611608123397E+00 a       695     1    14     2     5
  1.8058689886477335E+00 a       696     1    14     2     6
 -7.7091633363298906E-01 a       697     1    14     2     7
 -1.7066213032852448E-01 a       698     1    14     2     8
 -4.1979402557811840E-01 a       699     1    14     2     9
 -1.9836959478369116E+00 a       700     1    14     2    10
 -2.7062552579531296E-01 a       701     1    14     2    11
  1.1310830301125259E+00 a       702     1    14     2    12
  5.8207975960288905E-01 a       703     1    14     2    13
 -2.1763578903021004E+00 a       704     1    14     2    14
  9.8676766399723614E-01 a       705     1    14     2    15
  4.5260336383837035E-01 a       706     1    15     2     1
  1.1869052585515025E+00 a       707     1    15     2     2
  2.3541988351930505E+00 a       708     1    15     2     3
 -1.5925640565268817E+00 a       709     1    15     2     4
 -2.3659371188893918E+00 a       710     1    15     2     5
 -3.1308654771937925E+00 a       711     1    15     2     6
 -1.4092331575784811E+00 a       712     1    15     2     7
 -3.4889134405793215E-01 a       713     1    15     2     8
 -2.3282068317475964E+00 a       714     1    15     2     9
  6.7911545666096709E-02 a       715     1    15     2    10
 -1.4122218154742541E-01 a       716     1    15     2    11
 -2.5062983759503723E+00 a       717     1    15     2    12
  1.5333064597184498E-01 a       718     1    15     2    13
  3.3765997076830878E-01 a       719     1    15     2    14
 -1.7580561956926680E-01 a       720     1    15     2    15
 -1.1944393790546176E+01 b       721     2     1
 -2.6667685927429741E+00 b       722     2     2
 -1.1519483466777665E+01 b       723     2     3
  7.7028517898378634E+00 b       724     2     4
 -8.1887605979816414E+00 b       725     2     5
 -5.9998393001486221E+00 b       726     2     6
  3.8226723767500514E+00 b       727     2     7
 -6.8191919844801854E+00 b       728     2     8
  5.5453473557305920E-02 b       729     2     9
 -3.6579199923098544E+00 b       730     2    10
 -9.9491393687733520E-01 b       731     2    11
  4.7809169015503272E+00 b       732     2    12
 -6.4735431892272901E+00 b       733     2    13
  4.8537077779443480E+00 b       734     2    14
 -4.4001868942420295E+00 b       735     2    15
 -2.0603261854875949E-02 a       736     2     1     3     1
  9.2507277001642851E-02 a       737     2     2     3     1
  1.7582859195080139E-02 a       738     2     3     3     1
  4.2011441278384395E-02 a       739     2     4     3     1
  6.8345117724549653E-02 a       740     2     5     3     1
  7.5323681219461036E-02 a       741     2     6     3     1
 -5.7510032714040170E-02 a       742     2     7     3     1
  1.4475248249676248E-02 a       743     2     8     3     1
  5.7436903341320312E-03 a       744     2     9     3     1
 -3.1565532860099464E-02 a       745     2    10     3     1
 -5.2929324570169578E-02 a       746     2    11     3     1
  7.0658991510113333E-03 a       747     2    12     3     1
  3.5064260367855230E-03 a       748     2    13     3     1
  5.8754092841826602E-02 a       749     2    14     3     1
  8.8729470697131076E-03 a       750     2    15     3     1
 -3.3828852835675322E-01 b       751     3     1
